benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
interrupt_race_bug,fixed,2,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55738,0,0,0.033415,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,3,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55738,0,0,0.033782,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,4,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55738,0,0,0.033603,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,5,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55738,0,0,0.033866,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,1,smoke,baseline_no_recorder,compiler_c_scaled,true,56,14,0,0,0.002466,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,2,smoke,baseline_no_recorder,compiler_c_scaled,true,56,14,0,0,0.001984,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,3,smoke,baseline_no_recorder,compiler_c_scaled,true,56,14,0,0,0.001949,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,4,smoke,baseline_no_recorder,compiler_c_scaled,true,56,14,0,0,0.001876,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,5,smoke,baseline_no_recorder,compiler_c_scaled,true,56,14,0,0,0.001885,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,1,short,baseline_no_recorder,compiler_c_scaled,true,1535,337,0,0,0.002185,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,2,short,baseline_no_recorder,compiler_c_scaled,true,1535,337,0,0,0.002114,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,3,short,baseline_no_recorder,compiler_c_scaled,true,1535,337,0,0,0.002142,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,4,short,baseline_no_recorder,compiler_c_scaled,true,1535,337,0,0,0.002112,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,5,short,baseline_no_recorder,compiler_c_scaled,true,1535,337,0,0,0.002191,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
