bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00084,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,5,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00085,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00086,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,2,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00087,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,3,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00088,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,4,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00089,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,5,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00090,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,1,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00091,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,2,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00092,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,3,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00093,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,4,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
