architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,measured_or_estimated,bytes,events,replay_success,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,notes
baseline,baseline,interrupt_race_bug,failing,5,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-3313.33,-1606.67,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,failing,5,smoke,v1_full,MEASURED,105,5,true,PASS,PASS,12.50,56.25,97.44,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,failing,5,smoke,v2_core,MEASURED,16,2,true,PASS,PASS,86.67,93.33,99.61,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,failing,5,smoke,v2_hashed,MEASURED,16,2,true,PASS,PASS,86.67,93.33,99.61,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,failing,5,smoke,v2_full,MEASURED,152,19,true,PASS,PASS,-26.67,36.67,96.29,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,failing,5,stress,full_instruction_trace,ESTIMATED,163976,20497,NA,NA,NA,0.00,50.00,-3903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,failing,5,stress,full_commit_trace,ESTIMATED,327952,20497,NA,NA,NA,-100.00,0.00,-7906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,failing,5,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,97.50,98.75,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,failing,5,stress,v1_full,MEASURED,172116,8196,true,PASS,PASS,-4.96,47.52,-4102.05,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,failing,5,stress,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,failing,5,stress,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,failing,5,stress,v2_full,MEASURED,1936,242,true,PASS,PASS,98.82,99.41,52.73,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,1,long,full_instruction_trace,ESTIMATED,244768,30596,NA,NA,NA,0.00,50.00,-5875.78,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,1,long,full_commit_trace,ESTIMATED,489536,30596,NA,NA,NA,-100.00,0.00,-11851.56,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,1,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,1,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,1,long,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,1,long,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,1,long,v2_full,MEASURED,1952,244,true,PASS,PASS,99.20,99.60,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,1,medium,full_instruction_trace,ESTIMATED,127824,15978,NA,NA,NA,0.00,50.00,-3020.70,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,1,medium,full_commit_trace,ESTIMATED,255648,15978,NA,NA,NA,-100.00,0.00,-6141.41,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,1,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,1,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,1,medium,v2_core,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,1,medium,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,1,medium,v2_full,MEASURED,1952,244,true,PASS,PASS,98.47,99.24,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,1,short,full_instruction_trace,ESTIMATED,25248,3156,NA,NA,NA,0.00,50.00,-516.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,1,short,full_commit_trace,ESTIMATED,50496,3156,NA,NA,NA,-100.00,0.00,-1132.81,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,1,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.78,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,1,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.71,89.35,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,1,short,v2_core,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,1,short,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,1,short,v2_full,MEASURED,1952,244,true,PASS,PASS,92.27,96.13,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,1,smoke,full_instruction_trace,ESTIMATED,13280,1660,NA,NA,NA,0.00,50.00,-224.22,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,1,smoke,full_commit_trace,ESTIMATED,26560,1660,NA,NA,NA,-100.00,0.00,-548.44,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,1,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.16,84.58,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,1,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.52,79.76,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,1,smoke,v2_core,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,1,smoke,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,1,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.54,92.77,53.12,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,1,stress,full_instruction_trace,ESTIMATED,445904,55738,NA,NA,NA,0.00,50.00,-10786.33,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,1,stress,full_commit_trace,ESTIMATED,891808,55738,NA,NA,NA,-100.00,0.00,-21672.66,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,1,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,1,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,1,stress,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,1,stress,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,1,stress,v2_full,MEASURED,1952,244,true,PASS,PASS,99.56,99.78,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,2,long,full_instruction_trace,ESTIMATED,244768,30596,NA,NA,NA,0.00,50.00,-5875.78,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,2,long,full_commit_trace,ESTIMATED,489536,30596,NA,NA,NA,-100.00,0.00,-11851.56,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,2,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,2,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,2,long,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,2,long,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,2,long,v2_full,MEASURED,1952,244,true,PASS,PASS,99.20,99.60,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,2,medium,full_instruction_trace,ESTIMATED,127824,15978,NA,NA,NA,0.00,50.00,-3020.70,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,2,medium,full_commit_trace,ESTIMATED,255648,15978,NA,NA,NA,-100.00,0.00,-6141.41,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,2,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,2,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,2,medium,v2_core,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,2,medium,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,2,medium,v2_full,MEASURED,1952,244,true,PASS,PASS,98.47,99.24,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,2,short,full_instruction_trace,ESTIMATED,25248,3156,NA,NA,NA,0.00,50.00,-516.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,2,short,full_commit_trace,ESTIMATED,50496,3156,NA,NA,NA,-100.00,0.00,-1132.81,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,2,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.78,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,2,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.71,89.35,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,2,short,v2_core,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,2,short,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,2,short,v2_full,MEASURED,1952,244,true,PASS,PASS,92.27,96.13,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,2,smoke,full_instruction_trace,ESTIMATED,13280,1660,NA,NA,NA,0.00,50.00,-224.22,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,2,smoke,full_commit_trace,ESTIMATED,26560,1660,NA,NA,NA,-100.00,0.00,-548.44,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,2,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.16,84.58,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,2,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.52,79.76,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,2,smoke,v2_core,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,2,smoke,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,2,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.54,92.77,53.12,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,2,stress,full_instruction_trace,ESTIMATED,445904,55738,NA,NA,NA,0.00,50.00,-10786.33,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,2,stress,full_commit_trace,ESTIMATED,891808,55738,NA,NA,NA,-100.00,0.00,-21672.66,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,2,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,2,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,2,stress,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,2,stress,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,2,stress,v2_full,MEASURED,1952,244,true,PASS,PASS,99.56,99.78,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,3,long,full_instruction_trace,ESTIMATED,244768,30596,NA,NA,NA,0.00,50.00,-5875.78,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,3,long,full_commit_trace,ESTIMATED,489536,30596,NA,NA,NA,-100.00,0.00,-11851.56,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,3,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,3,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,3,long,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,3,long,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,3,long,v2_full,MEASURED,1952,244,true,PASS,PASS,99.20,99.60,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,3,medium,full_instruction_trace,ESTIMATED,127824,15978,NA,NA,NA,0.00,50.00,-3020.70,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,3,medium,full_commit_trace,ESTIMATED,255648,15978,NA,NA,NA,-100.00,0.00,-6141.41,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,3,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,3,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,3,medium,v2_core,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,3,medium,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,3,medium,v2_full,MEASURED,1952,244,true,PASS,PASS,98.47,99.24,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,3,short,full_instruction_trace,ESTIMATED,25248,3156,NA,NA,NA,0.00,50.00,-516.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,3,short,full_commit_trace,ESTIMATED,50496,3156,NA,NA,NA,-100.00,0.00,-1132.81,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,3,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.78,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,3,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.71,89.35,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,3,short,v2_core,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,3,short,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,3,short,v2_full,MEASURED,1952,244,true,PASS,PASS,92.27,96.13,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,3,smoke,full_instruction_trace,ESTIMATED,13280,1660,NA,NA,NA,0.00,50.00,-224.22,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,3,smoke,full_commit_trace,ESTIMATED,26560,1660,NA,NA,NA,-100.00,0.00,-548.44,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,3,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.16,84.58,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,3,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.52,79.76,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,3,smoke,v2_core,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,3,smoke,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,3,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.54,92.77,53.12,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,3,stress,full_instruction_trace,ESTIMATED,445904,55738,NA,NA,NA,0.00,50.00,-10786.33,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,3,stress,full_commit_trace,ESTIMATED,891808,55738,NA,NA,NA,-100.00,0.00,-21672.66,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,3,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,3,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,3,stress,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,3,stress,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,100.00,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,3,stress,v2_full,MEASURED,1952,244,true,PASS,PASS,99.56,99.78,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,4,long,full_instruction_trace,ESTIMATED,244768,30596,NA,NA,NA,0.00,50.00,-5875.78,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,4,long,full_commit_trace,ESTIMATED,489536,30596,NA,NA,NA,-100.00,0.00,-11851.56,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,4,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,4,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,4,long,v2_core,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,4,long,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.99,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,4,long,v2_full,MEASURED,1952,244,true,PASS,PASS,99.20,99.60,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,4,medium,full_instruction_trace,ESTIMATED,127824,15978,NA,NA,NA,0.00,50.00,-3020.70,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,4,medium,full_commit_trace,ESTIMATED,255648,15978,NA,NA,NA,-100.00,0.00,-6141.41,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,4,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,4,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,4,medium,v2_core,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,4,medium,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.97,99.99,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,4,medium,v2_full,MEASURED,1952,244,true,PASS,PASS,98.47,99.24,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,4,short,full_instruction_trace,ESTIMATED,25248,3156,NA,NA,NA,0.00,50.00,-516.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,4,short,full_commit_trace,ESTIMATED,50496,3156,NA,NA,NA,-100.00,0.00,-1132.81,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,4,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.78,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,4,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.71,89.35,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,4,short,v2_core,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,4,short,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.87,99.94,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,4,short,v2_full,MEASURED,1952,244,true,PASS,PASS,92.27,96.13,52.34,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,fixed,4,smoke,full_instruction_trace,ESTIMATED,13280,1660,NA,NA,NA,0.00,50.00,-224.22,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,fixed,4,smoke,full_commit_trace,ESTIMATED,26560,1660,NA,NA,NA,-100.00,0.00,-548.44,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,fixed,4,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.16,84.58,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,fixed,4,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.52,79.76,-31.25,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,fixed,4,smoke,v2_core,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,fixed,4,smoke,v2_hashed,MEASURED,32,4,true,PASS,PASS,99.76,99.88,99.22,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,fixed,4,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.54,92.77,53.12,MEASURED v2 exported capsule
