architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v2,full,256,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,256,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,256,short,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,256,smoke,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,256,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,512,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,512,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,512,short,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,512,smoke,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,512,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,1024,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,1024,medium,0.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,1024,short,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,1024,smoke,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,1024,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,2048,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,2048,medium,0.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,2048,short,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,2048,smoke,0.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,2048,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,hashed,4,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,hashed,4,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,hashed,4,short,100.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
