benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
uart_command_bug,no_failure_edge,2,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.100317,0.00,0.00,593.56,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,3,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014633,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,3,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.097745,0.00,0.00,567.98,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,3,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.104844,0.00,0.00,616.49,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,98,NA,25,0,0,0.008626,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,98,NA,25,0,0,0.007017,0.00,0.00,-18.65,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,1,recorder_enabled,compiler_c,true,NA,98,NA,25,7,147,0.006346,0.00,0.00,-26.43,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,98,NA,25,0,0,0.006017,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,98,NA,25,0,0,0.006034,0.00,0.00,0.28,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,2,recorder_enabled,compiler_c,true,NA,98,NA,25,7,147,0.006134,0.00,0.00,1.94,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,98,NA,25,0,0,0.005947,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,98,NA,25,0,0,0.005967,0.00,0.00,0.34,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,failing,3,recorder_enabled,compiler_c,true,NA,98,NA,25,7,147,0.005910,0.00,0.00,-0.62,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33324,NA,0,0,0.014725,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,1,recorder_present_disabled,compiler_c,true,100000,NA,33324,NA,0,0,0.098913,0.00,0.00,571.74,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,1,recorder_enabled,compiler_c,true,100000,NA,33324,NA,256,5376,0.100114,0.00,0.00,579.89,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,2,baseline_no_recorder,compiler_c,true,100000,NA,33324,NA,0,0,0.014671,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,2,recorder_present_disabled,compiler_c,true,100000,NA,33324,NA,0,0,0.101717,0.00,0.00,593.32,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,2,recorder_enabled,compiler_c,true,100000,NA,33324,NA,256,5376,0.100914,0.00,0.00,587.85,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,3,baseline_no_recorder,compiler_c,true,100000,NA,33324,NA,0,0,0.014660,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,3,recorder_present_disabled,compiler_c,true,100000,NA,33324,NA,0,0,0.099603,0.00,0.00,579.42,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,fixed,3,recorder_enabled,compiler_c,true,100000,NA,33324,NA,256,5376,0.100911,0.00,0.00,588.34,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,1,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.014744,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,1,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.099131,0.00,0.00,572.35,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,1,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.100766,0.00,0.00,583.44,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,2,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.016766,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,2,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.103465,0.00,0.00,517.11,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,2,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.105119,0.00,0.00,526.98,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,3,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.015134,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,3,recorder_present_disabled,compiler_c,true,100000,NA,33327,NA,0,0,0.106990,0.00,0.00,606.95,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
watchdog_timeout_bug,no_failure_edge,3,recorder_enabled,compiler_c,true,100000,NA,33327,NA,256,5376,0.100776,0.00,0.00,565.89,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
